"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Received","28/02/2026","Heard Island and McDonald Islands","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Honduras","0","0","*","0","0","0","0","91","85","9"
"short term visa applications","Received","28/02/2026","India","18570","21831","24305","5190","4173","24347","35068","41905","48187","7463"
"short term visa applications","Received","28/02/2026","Indonesia","2660","3175","3457","581","172","731","970","1066","1179","188"
"short term visa applications","Received","28/02/2026","Iran (Islamic Republic of)","923","945","765","160","155","700","923","761","810","94"
"short term visa applications","Received","28/02/2026","Iraq","294","257","274","38","50","494","458","565","326","27"
"short term visa applications","Received","28/02/2026","Isle of Man","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Jamaica","178","191","182","22","28","114","153","168","120","24"
"short term visa applications","Received","28/02/2026","Jersey","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Jordan","698","860","842","167","135","782","772","800","1017","158"
"short term visa applications","Received","28/02/2026","Kazakhstan","449","501","414","93","57","250","368","376","341","59"
"short term visa applications","Received","28/02/2026","Kenya","682","816","678","132","121","748","905","1189","1564","176"
"short term visa applications","Received","28/02/2026","Korea (the Democratic People's Republic of) North Korea","*","*","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Kosovo","257","207","197","41","42","197","177","354","300","36"
"short term visa applications","Received","28/02/2026","Kuwait","1053","1184","1225","180","568","1032","983","1134","1119","171"
"short term visa applications","Received","28/02/2026","Kyrgyzstan","98","61","63","22","10","51","49","75","97","10"
"short term visa applications","Received","28/02/2026","Lao People's Democratic Republic (the)","16","18","9","10","0","15","20","12","22","*"
"short term visa applications","Received","28/02/2026","Lebanon","999","1038","1067","187","132","664","806","923","914","148"
"short term visa applications","Received","28/02/2026","Lesotho","0","0","0","0","0","0","0","0","24","0"
"short term visa applications","Received","28/02/2026","Liberia","32","32","27","7","0","47","43","59","67","12"
"short term visa applications","Received","28/02/2026","Libya","86","101","135","29","19","67","67","94","72","12"
"short term visa applications","Received","28/02/2026","Macao","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Madagascar","39","29","29","17","*","29","32","28","20","6"
"short term visa applications","Received","28/02/2026","Malawi","245","265","276","41","45","394","426","644","646","60"
"short term visa applications","Received","28/02/2026","Mali","34","15","27","*","0","18","33","24","44","7"
"short term visa applications","Received","28/02/2026","Marshall Islands (the)","0","0","*","0","0","*","0","*","0","0"
"short term visa applications","Received","28/02/2026","Martinique","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Mauritania","*","6","7","0","*","7","8","*","9","*"
"short term visa applications","Received","28/02/2026","Mauritius","333","275","377","61","41","281","324","393","471","53"
"short term visa applications","Received","28/02/2026","Mayotte","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Melilla","0","0","0","0","0","0","0","0","0","0"
